Tissue,Key,
Adipose_Subcutaneous,ADPSBQ,
Adipose_Visceral_Omentum,ADPVSC,
Adrenal_Gland,ADRNLG,
Artery_Aorta,ARTAORT,
Artery_Coronary,ARTACRN,
Artery_Tibial,ARTTBL,
Bladder,BLDDER,
Brain_Amygdala,BRNAMY,
Brain_Anterior_cingulate_cortex_BA24,BRNACC,
Brain_Caudate_basal_ganglia,BRNCDT,
Brain_Cerebellar_Hemisphere,BRNCHB,
Brain_Cerebellum,BRNCHA,
Brain_Cortex,BRNCTXA,
Brain_Frontal_Cortex_BA9,BRNCTXB,
Brain_Hippocampus,BRNHPP,
Brain_Hypothalamus,BRNHPT,
Brain_Nucleus_accumbens_basal_ganglia,BRNNCC,
Brain_Putamen_basal_ganglia,BRNPTM,
Brain_Spinal_cord_cervical_c-1,BRNSPC,
Brain_Substantia_nigra,BRNSNG,
Breast_Mammary_Tissue,BREAST,
Cells_EBV-transformed_lymphocytes,LCL,
Cells_Transformed_fibroblasts,FIBRLBLS,
Colon_Sigmoid,CLNSGM,
Colon_Transverse,CLNTRN,
Esophagus_Gastroesophageal_Junction,ESPGEJ,
Esophagus_Mucosa,ESPMCS,
Esophagus_Muscularis,ESPMSL,
Heart_Atrial_Appendage,HRTAA,
Heart_Left_Ventricle,HRTLV,
Liver,LIVER,
Lung,LUNG,
Minor_Salivary_Gland,SLVRYG,
Muscle_Skeletal,MSCLSK,
Nerve_Tibial,NERVET,
Ovary,OVARY,
Pancreas,PNCREAS,
Pituitary,PTTARY,
Prostate,PRSTTE,
Skin_Not_Sun_Exposed_Suprapubic,SKINNS,
Skin_Sun_Exposed_Lower_leg,SKINS,
Small_Intestine_Terminal_Ileum,SNTTRM,
Spleen,SPLEEN,
Stomach,STMACH,
Testis,TESTIS,
Thyroid,THYROID,
Uterus,UTERUS,
Vagina,VAGINA,
Whole_Blood,WHLBLD,
